ID,Airline,PeakTime,Destination,Purpose,Transportation,Problem,Satisfaction,NetPromoter,NPS,Food,Store,Restroom,Safety,Cleanliness,Gender,Age,Income,FreqFlyer,MemberPremiumClear,Language
2994,AMERICAN,Domestic Offpeak,U.S. East,Business,Rental Car,NA,4,7,Passives,3,4,4,5,3,Male,45-54,"$100,001-$150,000",Yes,No,English
2995,ALASKA,Domestic Offpeak,U.S. East,Visit friends,Dropped off,NA,4,8,Passives,4,4,4,5,4,Female,25-34,"less than $50,000",No,No,English
2996,AMERICAN,Domestic Offpeak,U.S. East,Vacation,Dropped off,NA,4,10,Promoters,4,4,5,5,5,Female,18-24,"less than $50,000",No,NA,English
2997,AMERICAN,Domestic Offpeak,U.S. East,Vacation,Uber/Lyft,NA,5,10,Promoters,5,5,5,5,5,Female,55-64,"$150,000 or higher",No,No,English
2998,UNITED,Domestic Offpeak,U.S. West,Business,Uber/Lyft,NA,4,7,Passives,4,3,2,5,3,Male,45-54,"$150,000 or higher",Yes,Yes,English
2999,AMERICAN,Domestic Offpeak,U.S. East,Vacation,Rental Car,QUESTION 8,4,8,Passives,4,4,4,4,4,Female,35-44,NA,NA,No,English
3000,DELTA,Domestic Peak,U.S. Midwest,Wedding/funeral/graduation,Rental Car,NA,4,9,Promoters,4,3,5,4,3,Male,45-54,"$150,000 or higher",No,No,English
3001,AMERICAN,Domestic Offpeak,U.S. East,Vacation,Uber/Lyft,NA,5,10,Promoters,5,4,5,5,5,Male,25-34,"$50,000-$100,000",No,No,English
3002,DELTA,Domestic Peak,U.S. Midwest,Visit friends,BART,NA,5,10,Promoters,4,4,5,5,5,Female,55-64,NA,No,No,English
3003,AMERICAN,Domestic Offpeak,U.S. East,Vacation,Uber/Lyft,NA,5,10,Promoters,2,2,5,4,5,Female,18-24,"$50,000-$100,000",NA,No,English
3004,AMERICAN,Domestic Offpeak,U.S. East,Vacation,Uber/Lyft,NA,5,9,Promoters,4,4,5,4,5,Female,35-44,"$100,001-$150,000",No,No,English
3005,UNITED,Domestic Offpeak,U.S. Midwest,Conference,Uber/Lyft,VERY LONG LINE AT TSA. MY FRIENDS WERE LATE FOR FLIGHT SINCE THEY WERE STANDING IN LINE FOR 2 H AT TSA.,4,5,Detractors,3,3,4,4,3,Female,45-54,"$50,000-$100,000",NA,No,English
3006,AMERICAN,Domestic Offpeak,U.S. East,Vacation,Dropped off,NA,5,10,Promoters,3,5,5,4,5,Female,25-34,"$50,000-$100,000",No,No,English
3007,AMERICAN,Domestic Offpeak,U.S. East,Business,Rental Car,THE CONSTRUCTION ON BUENO AVE CONFUSES THE TRAFFIC,5,10,Promoters,5,3,5,5,5,Male,35-44,"$150,000 or higher",Yes,No,English
3008,DELTA,Domestic Peak,U.S. East,Visit friends,Taxi,THE TSA (?) SECURITY PERSON ON MY SIDE OF THE LINE TO CHECK I.D.'S WAS HAVING DIFFICULTY. SHE TOOK A LONG TIME TO CHECK PERSON AND HAD TO CALL FOR HELP AT LEAST TWICE. SHE DELAYED US MOVING THROUGH LINE.,4,8,Passives,3,4,4,4,4,Female,35-44,"$150,000 or higher",No,No,English
3009,AMERICAN,Domestic Offpeak,U.S. East,Vacation,Dropped off,NA,4,7,Passives,1,5,5,3,5,Female,25-34,"$50,000-$100,000",No,No,English
3010,AMERICAN,Domestic Offpeak,U.S. East,Business,Uber/Lyft,NA,4,8,Passives,4,3,NA,5,4,Female,35-44,"$150,000 or higher",NA,Yes,English
3011,ALASKA,Domestic Offpeak,U.S. East,Visit friends,Uber/Lyft,NA,4,8,Passives,4,4,3,5,4,Male,18-24,"$50,000-$100,000",No,No,English
3012,UNITED,Domestic Offpeak,U.S. West,Vacation,Connect from another flight,NA,3,11,NA,NA,NA,5,5,5,NA,NA,NA,NA,NA,English
3013,UNITED,Domestic Peak,U.S. Midwest,Vacation,Uber/Lyft,"GOING THROUGH SECURITY SEEMS TO BE TAKING LONGER OVERALL. PERHAPS NO EASY ANSWER, BUT MORE LINES COULD HAVE BEEN OPEN.",4,9,Promoters,4,4,4,5,4,Male,65 and over,"$150,000 or higher",No,No,English
3014,UNITED,Domestic Offpeak,U.S. West,Visit friends,Connect from another flight,NA,4,10,Promoters,4,4,4,3,4,Male,65 and over,"$50,000-$100,000",No,NA,English
3015,UNITED,Domestic Peak,U.S. East,Visit friends,Rental Car,NA,4,9,Promoters,4,4,3,3,4,Female,65 and over,"$50,000-$100,000",No,No,English
3016,UNITED,Domestic Offpeak,U.S. West,Vacation,Connect from another flight,NA,4,11,NA,4,NA,NA,NA,NA,Female,45-54,"$150,000 or higher",No,No,English
3017,ALASKA,International,North America,Wedding/funeral/graduation,Van,NA,NA,5,Detractors,5,5,5,5,5,Female,55-64,"less than $50,000",Yes,No,English
3018,UNITED,Domestic Offpeak,U.S. West,Visit friends,Connect from another flight,NA,4,8,Passives,4,4,5,5,5,Male,65 and over,"$50,000-$100,000",No,No,English
3019,UNITED,Domestic Offpeak,U.S. West,Visit friends,Connect from another flight,"UNITED AIRLINES DELAYS 'ALL"" DAY FROM ARKANSAS TO OREGON",4,3,Detractors,4,NA,1,3,3,Female,NA,NA,No,No,English
3020,ALASKA,Domestic Offpeak,U.S. West,Vacation,Dropped off,NA,4,10,Promoters,4,4,5,4,5,Female,18-24,"$50,000-$100,000",No,NA,English
3021,ALASKA,Domestic Offpeak,U.S. West,Visit friends,Uber/Lyft,NA,4,10,Promoters,NA,4,NA,4,5,Female,25-34,"less than $50,000",No,No,English
3022,UNITED,Domestic Offpeak,U.S. West,Vacation,Connect from another flight,NA,4,8,Passives,4,NA,4,3,4,Male,65 and over,"$150,000 or higher",No,No,English
3023,UNITED,Domestic Offpeak,U.S. West,Business,Uber/Lyft,NA,3,5,Detractors,3,3,2,3,3,Male,45-54,"$150,000 or higher",NA,No,English
3024,ALASKA,Domestic Offpeak,U.S. West,Moving,Dropped off,NA,4,10,Promoters,NA,NA,4,4,3,Female,45-54,"less than $50,000",No,No,English
